                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0586,                 4.1089,                 1.3078,                0.00254,                 0.7744,                0.00531,                0.00171,                 1.8287,                 4.6242,                 1.1643,                0.00058,                0.00058,                0.00058
                      2,                 2.0256,                  2.933,                 1.2945,                0.00344,                0.40564,                0.02411,                0.00828,                 1.8866,                 4.3766,                 1.2202,              0.0011683,              0.0011683,              0.0011683
                      3,                 1.9784,                 2.5015,                 1.2838,                0.87421,                0.10195,                0.42505,                0.18353,                 1.9229,                 3.4939,                 1.3312,              0.0017448,              0.0017448,              0.0017448
                      4,                 2.0778,                 2.2138,                 1.3359,                0.71051,                0.38865,                0.48108,                0.19523,                 2.1946,                 2.9445,                 1.4069,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9493,                 1.8463,                 1.2956,                0.58034,                0.42082,                0.48053,                0.20632,                 1.9609,                 2.3467,                  1.346,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8975,                 1.6293,                 1.2726,                0.78003,                0.62907,                0.69401,                0.26378,                 1.9629,                 1.8646,                 1.3234,               0.001901,               0.001901,               0.001901
                      7,                 1.8388,                 1.5367,                 1.2622,                0.69088,                0.43384,                0.50823,                0.22445,                 2.0786,                  2.044,                 1.4053,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.7997,                 1.3713,                 1.2281,                0.78605,                0.71729,                0.80307,                0.38621,                  1.753,                 2.0686,                  1.247,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8187,                 1.2968,                 1.2106,                0.88052,                0.54664,                0.70364,                0.31881,                 1.9308,                 1.6223,                 1.3364,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8025,                 1.2193,                 1.2468,                0.89196,                0.81779,                0.89195,                0.40089,                 1.8037,                  1.121,                 1.2611,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8492,                 1.2177,                 1.2612,                0.78557,                0.60087,                0.70089,                0.31481,                 1.8887,                 1.7921,                 1.2634,               0.001802,               0.001802,               0.001802
                     12,                 1.7924,                 1.1356,                 1.1998,                0.90383,                0.85622,                0.90963,                0.45522,                 1.6663,                 1.1068,                 1.2002,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7783,                 1.0973,                 1.2002,                0.89138,                0.87223,                0.91603,                0.44226,                 1.7478,                0.99085,                 1.2141,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7234,                 1.0686,                 1.2068,                0.52338,                0.71224,                0.66903,                0.33363,                 1.7817,                 1.4512,                 1.2688,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.7159,                 1.0738,                 1.1991,                0.90209,                0.82863,                0.91408,                0.44443,                 1.7043,                 1.0824,                 1.2144,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.7672,                 1.0538,                 1.2275,                0.87647,                0.75922,                0.84213,                0.43638,                 1.6798,                 1.1796,                 1.2115,               0.001703,               0.001703,               0.001703
                     17,                 1.7086,                 1.0317,                 1.1887,                0.88368,                0.88503,                 0.9387,                0.50076,                 1.6117,                0.87682,                 1.1519,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6275,                0.94212,                 1.1651,                0.87048,                0.75705,                0.84691,                0.38163,                 1.8038,                 1.1498,                 1.2512,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5966,                0.92795,                 1.1808,                0.93811,                0.88777,                0.94473,                0.50466,                 1.6253,                0.85111,                  1.173,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6947,                0.99156,                 1.2048,                0.87596,                0.88849,                0.92636,                0.45706,                 1.7061,                0.94949,                 1.2129,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6494,                0.91848,                 1.1538,                0.96543,                0.93275,                0.97242,                0.52877,                 1.5754,                0.82827,                 1.1544,               0.001604,               0.001604,               0.001604
                     22,                 1.6096,                0.92006,                 1.1519,                0.94104,                0.90672,                0.95054,                0.47851,                 1.6375,                0.89134,                 1.1828,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6608,                0.93184,                 1.2058,                0.94948,                0.87419,                0.93296,                0.47758,                 1.6539,                 1.0874,                 1.2011,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6557,                0.90471,                 1.1952,                0.93967,                0.87841,                0.95087,                0.49334,                 1.6058,                0.84929,                 1.1586,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5997,                0.92491,                 1.1448,                0.96882,                0.95011,                0.97954,                0.53713,                 1.5226,                0.78036,                 1.1232,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.6354,                0.91127,                 1.1453,                0.96114,                0.91323,                0.95664,                0.49304,                 1.6502,                0.83921,                 1.1517,               0.001505,               0.001505,               0.001505
                     27,                 1.6022,                0.86304,                  1.142,                0.97106,                0.94614,                0.96689,                0.54249,                 1.5197,                0.78018,                 1.1105,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.6059,                0.87574,                 1.1561,                0.97316,                0.94364,                0.98163,                 0.5721,                  1.463,                0.72457,                 1.1033,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5588,                0.82295,                 1.1116,                0.94523,                0.89154,                0.93752,                0.52415,                 1.5468,                0.86041,                 1.1333,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.5027,                0.81866,                  1.128,                0.89206,                0.85033,                0.90483,                0.44675,                   1.76,                0.99326,                 1.2395,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.5885,                0.83104,                 1.1278,                0.96315,                0.85683,                0.90984,                0.50512,                 1.5032,                0.98139,                 1.1033,               0.001406,               0.001406,               0.001406
                     32,                 1.5608,                0.85778,                 1.1348,                0.95692,                0.95879,                0.97754,                0.57153,                 1.4371,                0.72155,                 1.0738,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.5725,                0.86726,                 1.1251,                0.96327,                0.93709,                0.97462,                0.57703,                 1.4284,                0.77867,                  1.082,              0.0013664,              0.0013664,              0.0013664
                     34,                  1.506,                0.80241,                 1.0913,                0.94969,                0.90088,                0.95818,                0.57261,                 1.4653,                 0.7582,                 1.1058,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5118,                0.80198,                 1.1129,                0.96718,                0.95662,                0.97722,                0.57161,                 1.4685,                0.73151,                  1.088,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5425,                 0.7942,                 1.1413,                 0.9677,                0.97473,                0.98228,                0.57865,                 1.4278,                0.70369,                 1.0735,               0.001307,               0.001307,               0.001307
                     37,                 1.5973,                0.80047,                 1.1114,                 0.9541,                0.96312,                0.97135,                0.58089,                 1.4204,                0.74216,                 1.0702,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.5132,                0.77172,                 1.1177,                0.97097,                0.94335,                0.97954,                0.56469,                 1.4819,                0.71787,                 1.0774,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5003,                0.76014,                 1.1176,                0.97768,                0.95019,                0.97869,                0.59418,                 1.3716,                0.70645,                 1.0574,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5097,                0.75807,                 1.0807,                0.97802,                0.96509,                0.98533,                0.58898,                 1.3719,                0.67207,                  1.049,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4854,                0.76482,                 1.0842,                0.98667,                0.96345,                0.98884,                0.59102,                 1.4224,                0.68455,                 1.0662,               0.001208,               0.001208,               0.001208
                     42,                 1.4747,                0.76406,                 1.0835,                0.97063,                0.96746,                 0.9875,                0.60715,                  1.329,                0.65747,                 1.0382,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4151,                0.73032,                 1.0658,                0.98486,                0.96963,                0.98983,                0.60661,                 1.3217,                0.64608,                 1.0345,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4036,                0.74092,                 1.0746,                 0.9749,                0.95662,                0.98533,                0.61563,                 1.3214,                0.65568,                 1.0458,              0.0011486,              0.0011486,              0.0011486
                     45,                   1.44,                0.75309,                 1.1005,                0.97835,                0.98036,                 0.9918,                0.61294,                 1.3167,                0.64924,                 1.0375,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4611,                0.73075,                 1.0671,                0.98227,                0.96129,                0.98871,                0.61937,                 1.3039,                0.65205,                 1.0275,               0.001109,               0.001109,               0.001109
                     47,                 1.3977,                0.73994,                  1.057,                0.97387,                0.97016,                0.98362,                0.61627,                 1.3149,                0.65181,                 1.0365,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4434,                0.71967,                 1.0748,                0.98634,                0.98048,                0.99134,                 0.6104,                  1.296,                0.64055,                 1.0261,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3793,                0.72189,                 1.0467,                0.99113,                0.96957,                0.98968,                0.60364,                 1.3099,                0.64854,                 1.0212,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3504,                0.68242,                  1.041,                0.99328,                0.96164,                 0.9919,                0.62761,                 1.3064,                0.62685,                 1.0293,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3481,                0.70459,                 1.0268,                0.97743,                0.98698,                0.99386,                0.62018,                 1.3024,                0.62909,                 1.0205,                0.00101,                0.00101,                0.00101
                     52,                  1.333,                0.68902,                 1.0252,                0.99103,                0.95854,                0.99033,                0.60645,                 1.3838,                 0.6525,                 1.0484,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3858,                0.68019,                 1.0282,                0.98233,                0.93059,                0.97988,                 0.6174,                   1.36,                0.69691,                 1.0524,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3551,                0.68918,                 1.0337,                0.99122,                0.97964,                0.99334,                0.64198,                 1.2767,                0.62072,                 1.0128,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3665,                 0.6879,                 1.0165,                0.99334,                0.97035,                0.99252,                0.64484,                 1.2508,                0.61838,                 1.0093,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3604,                0.68273,                 1.0387,                0.98688,                0.97928,                0.99289,                0.66257,                 1.2056,                0.59936,                0.99009,               0.000911,               0.000911,               0.000911
                     57,                 1.3983,                0.71033,                 1.0491,                0.98032,                0.97252,                0.99383,                0.65613,                 1.2172,                0.61226,                 1.0005,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.303,                0.67389,                 1.0235,                0.98012,                0.97614,                0.99038,                0.63574,                 1.3036,                0.61193,                 1.0087,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3528,                0.66988,                  1.032,                0.99329,                0.96267,                0.99231,                0.65582,                 1.2442,                0.59704,                 1.0013,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2922,                0.65317,                 1.0155,                0.98554,                0.96963,                0.99228,                 0.6558,                 1.2317,                0.58441,                0.99944,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3299,                0.64836,                 1.0232,                0.98997,                 0.9718,                0.99401,                0.66488,                 1.2088,                0.58338,                0.99689,               0.000812,               0.000812,               0.000812
                     62,                 1.3104,                0.65289,                 1.0105,                0.97833,                0.97923,                0.99272,                0.65744,                 1.2494,                0.60051,                 1.0063,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3151,                0.64915,                 1.0164,                0.98471,                0.97802,                0.99262,                0.64629,                 1.2296,                0.59848,                  1.006,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2987,                0.65361,                 1.0381,                0.98484,                0.98674,                0.98761,                0.65875,                 1.2107,                0.58751,                0.98698,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3015,                0.64797,                 1.0184,                0.98925,                0.98265,                0.99363,                0.68048,                 1.1909,                0.57846,                0.98221,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2828,                0.63894,                 1.0158,                0.98379,                0.98265,                0.99379,                0.66936,                 1.1854,                0.58338,                0.98266,               0.000713,               0.000713,               0.000713
                     67,                 1.2674,                0.61762,                 1.0167,                0.98654,                0.98482,                0.99243,                0.65826,                 1.1987,                0.56295,                0.98141,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2598,                 0.6322,                 1.0122,                0.98904,                0.97879,                0.99389,                 0.6763,                  1.219,                0.56995,                 1.0028,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2829,                0.63597,                 1.0204,                0.98944,                0.98698,                0.99417,                0.68434,                  1.161,                0.56394,                0.97824,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2651,                0.64934,                 1.0228,                0.98643,                0.97831,                0.99184,                0.68452,                 1.1465,                0.56509,                0.96728,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2431,                0.62757,                 1.0091,                0.98061,                0.98712,                0.99291,                0.69031,                 1.1326,                0.54991,                0.96876,               0.000614,               0.000614,               0.000614
                     72,                 1.2981,                0.62376,                 1.0098,                0.98643,                0.98048,                0.99173,                0.68338,                 1.1693,                0.56883,                0.97538,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2837,                0.62411,                0.98603,                0.97701,                0.98698,                0.99057,                0.68673,                 1.1536,                 0.5521,                0.95928,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2491,                0.61336,                0.99298,                 0.9837,                0.98915,                0.99236,                0.69761,                 1.1237,                0.54623,                0.95715,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2281,                0.60362,                0.99286,                 0.9924,                0.98698,                0.99451,                0.69564,                 1.1346,                0.54177,                 0.9609,              0.0005348,              0.0005348,              0.0005348
                     76,                  1.207,                0.60138,                 0.9857,                0.98623,                0.99132,                0.99472,                0.70021,                 1.1209,                  0.546,                0.95504,               0.000515,               0.000515,               0.000515
                     77,                 1.2306,                0.61667,                0.98158,                0.99117,                0.99132,                0.99491,                0.71346,                 1.0968,                0.53306,                0.95002,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2175,                0.60831,                0.97968,                0.99349,                  0.993,                0.99491,                0.71536,                 1.0795,                0.52492,                0.94546,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.151,                0.59299,                0.96503,                0.99577,                0.98698,                0.99489,                0.70867,                 1.0743,                0.53538,                0.94598,              0.0004556,              0.0004556,              0.0004556
                     80,                   1.17,                0.57286,                0.96916,                 0.9935,                0.99496,                 0.9938,                0.70514,                 1.0584,                0.51783,                0.93945,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1911,                0.57871,                0.98211,                0.99316,                0.99566,                0.99424,                0.70714,                 1.0811,                 0.5209,                0.94674,               0.000416,               0.000416,               0.000416
                     82,                 1.1688,                0.58856,                0.97362,                0.99756,                0.99349,                  0.995,                 0.7314,                 1.0448,                0.52119,                 0.9381,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1846,                0.59699,                0.97376,                 0.9962,                0.98915,                0.99461,                0.69159,                  1.155,                0.54043,                0.96555,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1436,                0.57508,                0.96787,                 0.9935,                0.99401,                0.99498,                0.72404,                 1.0344,                0.50315,                 0.9353,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1479,                0.58805,                0.97561,                0.99783,                 0.9955,                0.99463,                0.73234,                 1.0205,                0.49723,                0.92544,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1252,                0.56512,                0.95114,                0.99783,                0.99566,                0.99478,                0.73623,                 1.0195,                0.49789,                0.92504,               0.000317,               0.000317,               0.000317
                     87,                 1.1334,                0.56699,                0.96402,                0.99566,                0.99517,                0.99478,                0.73914,                 1.0163,                0.49416,                0.92565,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0982,                0.54781,                0.95267,                0.99533,                0.99349,                0.99482,                0.73546,                 1.0116,                0.49472,                0.92536,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0936,                0.54508,                0.96406,                0.99638,                0.99566,                0.99493,                0.74045,                 1.0091,                0.49564,                0.92514,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0876,                0.55315,                0.94152,                0.99783,                0.99755,                0.99489,                 0.7394,                0.99976,                0.48801,                0.92413,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0802,                 0.5526,                0.96267,                0.99459,                0.99566,                0.99467,                0.73422,                 1.0108,                0.49177,                0.92252,               0.000218,               0.000218,               0.000218
                     92,                 1.0806,                0.53102,                0.98105,                0.99782,                0.99075,                0.99498,                0.73497,                 1.0303,                0.49503,                0.92557,              0.0001982,              0.0001982,              0.0001982
                     93,                  1.119,                0.55383,                0.98241,                0.99935,                0.99132,                  0.995,                0.74387,                 0.9973,                0.48722,                0.91884,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.062,                0.53007,                   0.96,                0.99937,                0.99132,                  0.995,                0.74733,                0.98326,                0.48813,                0.91697,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0821,                0.53488,                0.96991,                0.99889,                0.99132,                  0.995,                0.74707,                0.97715,                0.48318,                  0.915,              0.0001388,              0.0001388,              0.0001388
                     96,                  1.065,                0.52341,                0.94641,                0.99565,                0.99323,                0.99493,                0.74871,                0.96935,                0.47925,                0.91236,               0.000119,               0.000119,               0.000119
                     97,                  1.066,                0.52156,                0.93961,                 0.9972,                0.99132,                0.99491,                0.75484,                0.96358,                0.47645,                0.91196,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  1.048,                0.53064,                0.93864,                0.99565,                0.99331,                0.99493,                0.75362,                0.96459,                0.47365,                0.91138,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.021,                0.51375,                0.94148,                0.99352,                0.99831,                0.99489,                0.75885,                0.94273,                0.46777,                0.90586,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0013,                0.50571,                0.94251,                0.99783,                0.99528,                0.99487,                0.76003,                0.93712,                0.46619,                0.90471,               3.98e-05,               3.98e-05,               3.98e-05
